Conservation_Unit,S01_lower,S01_upper,S01_best_guess,S02_lower,S02_upper,S02_best_guess,S03_lower,S03_upper,S03_best_guess,S04_lower,S04_upper,S04_best_guess,S05_lower,S05_upper,S05_best_guess,S06_lower,S06_upper,S06_best_guess,S07_lower,S07_upper,S07_best_guess,S08_lower,S08_upper,S08_best_guess,S09_lower,S09_upper,S09_best_guess,S10_lower,S10_upper,S10_best_guess,S11_lower,S11_upper,S11_best_guess,S12_1.9.10_lower,S12_1.9.10_upper,S12_1.9.10_best_guess,S13_2.6_lower,S13_2.6_upper,S13_2.6_best_guess,ALL_lower,ALL_upper,ALL_best_guess,S15_Fut_Bas_lower,S15_Fut_Bas_upper,S15_Fut_Bas_best_guess
Chinook_BB_FA_0.3,12.5,15.833333333333334,16,15,17.823529411764707,16.88235294117647,14.117647058823529,18.941176470588236,16.941176470588236,17.352941176470587,22.058823529411764,21.470588235294116,15.588235294117647,17.352941176470587,16.764705882352942,14.333333333333334,21,20,11.25,16.6875,16,17.941176470588236,18.823529411764707,18.823529411764707,13.88888888888889,15.944444444444445,16.38888888888889,14.1875,16.875,15.625,10.882352941176471,15.117647058823529,14.235294117647058,24,31.529411764705884,29.352941176470587,32.1875,35.125,37.375,35.294117647058826,37.05882352941177,36.94117647058823,-1.5333333333333334,-4.866666666666666,-5.533333333333333
Chinook_LFR_FA_0.3,12.434782608695652,13.73913043478261,13.695652173913043,12.045454545454545,13.409090909090908,11.545454545454545,12.5,18.181818181818183,16.636363636363637,13.181818181818182,17.954545454545453,16.727272727272727,15,17.727272727272727,18.181818181818183,10.25,16.5,15.75,4.761904761904762,9.285714285714286,8.19047619047619,12.136363636363637,16,16.454545454545453,9.857142857142858,14.666666666666666,14.142857142857142,10.6,15.75,13.75,7.863636363636363,14.545454545454545,14.454545454545455,20.571428571428573,29.857142857142858,27.761904761904763,24.526315789473685,32.36842105263158,30.42105263157895,30.25,33.25,33.7,-4.588235294117647,-1.6470588235294117,-4
Chinook_LFR_SP_1.3,12.727272727272727,15.954545454545455,16.5,12.55,14.3,13.5,12.75,14.8,14.9,13.15,13.45,15,12.6,12.75,13.1,10.944444444444445,14.277777777777779,13.444444444444445,6.105263157894737,8,6.842105263157895,12.25,12.75,12,9.894736842105264,11.263157894736842,10.842105263157896,10.944444444444445,13.88888888888889,11.944444444444445,8.95,11.05,12.5,22.63157894736842,26.789473684210527,26.526315789473685,28.764705882352942,31.058823529411764,31.294117647058822,29.444444444444443,32.666666666666664,31.944444444444443,-3.3125,-0.8125,-4.0625
Chinook_LFR_SU_1.3,12,13.85,15.25,10.157894736842104,12.421052631578947,11.157894736842104,11.157894736842104,14.157894736842104,11.789473684210526,11.052631578947368,12.368421052631579,12.789473684210526,10.105263157894736,9.473684210526315,10.105263157894736,9.117647058823529,11.764705882352942,10.411764705882353,5.944444444444445,7.333333333333333,5.944444444444445,9.842105263157896,9.736842105263158,8.789473684210526,9.444444444444445,8.61111111111111,9.722222222222221,11.882352941176471,12.941176470588236,11.764705882352942,8.578947368421053,10.052631578947368,11.157894736842104,20.833333333333332,23.72222222222222,23.555555555555557,23.375,26.625,26.875,26.41176470588235,28.41176470588235,28.470588235294116,-3.6666666666666665,-2.8666666666666667,-4.666666666666667
Chinook_LFR-Upper_Pitt_SU_1.3,9.764705882352942,12.941176470588236,12.411764705882353,9.1875,15.0625,12.5,8.125,13.9375,11.5,9.6875,15.75,15.75,8.5625,9.375,10.125,6.428571428571429,11.785714285714286,10.714285714285714,3.2666666666666666,7.533333333333333,4.6,10.125,10.625,10.125,8.470588235294118,9.764705882352942,9.823529411764707,11.8,15,12.666666666666666,6.875,12,13.5625,21.5,26.1875,24.4375,27.333333333333332,31.8,29.933333333333334,29.1875,36.6875,33.4375,-2.857142857142857,-2,-4.285714285714286
Chinook_Maria_Slough_SU_0.3,12.5,17.85,16.55,12.222222222222221,17.5,15.555555555555555,10.833333333333334,17.77777777777778,15.555555555555555,14.88888888888889,18.61111111111111,16.38888888888889,12.777777777777779,12.5,14.166666666666666,9.6875,13.4375,12.1875,7.823529411764706,9.235294117647058,8.058823529411764,12.61111111111111,14,13.722222222222221,8.529411764705882,10.764705882352942,10.294117647058824,12.9375,14.6875,12.5,8.333333333333334,13.61111111111111,13,20.294117647058822,26.294117647058822,25.41176470588235,28.2,33.266666666666666,33,28.4375,36.125,34.6875,-2,-0.9285714285714286,-3.5714285714285716
Chum_LFR,14.409090909090908,13.772727272727273,14.181818181818182,10.666666666666666,14.047619047619047,13.476190476190476,11.523809523809524,17.142857142857142,14.714285714285714,14.380952380952381,18.61904761904762,17.714285714285715,10.333333333333334,10.80952380952381,12.238095238095237,12.894736842105264,17.210526315789473,17.473684210526315,9.25,10.5,9.05,14.380952380952381,14.857142857142858,13.476190476190476,11.1,11.55,11.1,12.210526315789474,12.631578947368421,12.894736842105264,10.238095238095237,10.80952380952381,10.571428571428571,18.35,22.25,20.25,23.61111111111111,28.833333333333332,26.833333333333332,28.63157894736842,30.842105263157894,30.263157894736842,-5.1875,-5.5,-8.9375
Coho_BB,9.0625,13.75,13.75,11.428571428571429,21.428571428571427,19.642857142857142,14.666666666666666,21.333333333333332,19.333333333333332,18,26.333333333333332,25.333333333333332,15,20.357142857142858,18.928571428571427,11.923076923076923,27.307692307692307,24.23076923076923,9.285714285714286,18.071428571428573,16.928571428571427,17.5,22.142857142857142,21.071428571428573,14.357142857142858,18.285714285714285,18.642857142857142,17.46153846153846,25,21.923076923076923,9.642857142857142,18.571428571428573,17.142857142857142,21.5,29.071428571428573,26.285714285714285,28.571428571428573,37.857142857142854,36.785714285714285,35.357142857142854,42.857142857142854,40,-3.1666666666666665,-4,-7.333333333333333
Coho_LFR,12.8125,15.9375,14.0625,14.285714285714286,21.071428571428573,18.214285714285715,14.333333333333334,21.333333333333332,18,16.333333333333332,22.666666666666668,22.333333333333332,10,13.333333333333334,12.666666666666666,16.071428571428573,23.571428571428573,21.428571428571427,7.142857142857143,11.428571428571429,9.428571428571429,15.333333333333334,16.666666666666668,16.666666666666668,13.214285714285714,13.571428571428571,13.928571428571429,17.285714285714285,19.285714285714285,17.857142857142858,12.5,17.857142857142858,17.5,22.307692307692307,27.692307692307693,26.153846153846153,28.076923076923077,35.76923076923077,33.84615384615385,34.23076923076923,38.07692307692308,37.69230769230769,-3.5833333333333335,-6.083333333333333,-7.75
Coho_Lillooet,15.1875,17.0625,16.75,13.071428571428571,19.285714285714285,17.357142857142858,14.666666666666666,24.133333333333333,21.533333333333335,16.333333333333332,21.2,20.133333333333333,11.785714285714286,15.357142857142858,15.357142857142858,15.384615384615385,22.307692307692307,20.384615384615383,7.357142857142857,9.642857142857142,8.071428571428571,15.714285714285714,18.214285714285715,17.5,12.923076923076923,17.615384615384617,17.384615384615383,16.833333333333332,20.416666666666668,17.5,12.285714285714286,19.428571428571427,17.214285714285715,24.846153846153847,30.46153846153846,27.615384615384617,24.916666666666668,34.583333333333336,33.5,27.583333333333332,40.083333333333336,37.916666666666664,-4.3,-1.3,-5.3
Pink_FR,11.238095238095237,12.904761904761905,11.238095238095237,6.5,11.55,8,8.35,15.5,13.95,9.1,14.6,12.3,8.5,11,10,10.277777777777779,15.277777777777779,11.944444444444445,5.2631578947368425,8.947368421052632,6.7894736842105265,11.75,13.5,12,8.947368421052632,11.263157894736842,10.263157894736842,8.166666666666666,13.055555555555555,10.277777777777779,6.7,9.95,8.35,20.833333333333332,21.27777777777778,21.61111111111111,22.3125,25.375,25.125,26.470588235294116,27.764705882352942,27.352941176470587,-5.928571428571429,-4.857142857142857,-6.642857142857143
Sockeye_Chilliwack_ES,11.052631578947368,12.421052631578947,13.210526315789474,5.882352941176471,9.705882352941176,8.823529411764707,7.411764705882353,12.823529411764707,11.882352941176471,8.411764705882353,13.235294117647058,13.117647058823529,5.882352941176471,7.0588235294117645,7.352941176470588,7.333333333333333,11.666666666666666,10.666666666666666,4.9375,7.5,7.5625,10.588235294117647,12.352941176470589,12.058823529411764,7.875,9.6875,9.5,7.625,10.3125,8.75,5.888888888888889,9.722222222222221,11,18.125,20.125,22.0625,15.866666666666667,20.133333333333333,18.533333333333335,22.333333333333332,27.333333333333332,28.666666666666668,-4.846153846153846,-5.230769230769231,-7.538461538461538
Sockeye_Cultus_Late,9,12.380952380952381,12.952380952380953,3.238095238095238,7.857142857142857,6.857142857142857,4,9.428571428571429,9.238095238095237,5.380952380952381,12.095238095238095,11.857142857142858,1.5,5,4.75,3.6842105263157894,7.105263157894737,7.368421052631579,4.9,9.4,8.5,7.75,13,12.75,2.6315789473684212,7.7894736842105265,6.526315789473684,5.631578947368421,9.210526315789474,7.894736842105263,2.65,7.9,7.85,13.9,18.3,17.8,10.277777777777779,22.22222222222222,16.72222222222222,17.63157894736842,26.57894736842105,23.526315789473685,-1.5625,-2.0625,-3
Sockeye_Harrison_Down_Late(Big_Silver),11.11111111111111,13.222222222222221,13.166666666666666,6.176470588235294,9.117647058823529,8.882352941176471,8.823529411764707,12.941176470588236,12.470588235294118,10.294117647058824,13.529411764705882,12.470588235294118,5.588235294117647,6.176470588235294,6.176470588235294,7.666666666666667,11.666666666666666,10,3.9375,5.5,5.875,10.588235294117647,10,9.117647058823529,8.8125,8.8125,9.5625,7.466666666666667,9.666666666666666,8.333333333333334,7.411764705882353,10.294117647058824,10.882352941176471,15.6875,18.1875,17.6875,15.214285714285714,20.357142857142858,20.142857142857142,22,25.666666666666668,26.733333333333334,-6.769230769230769,-7.538461538461538,-9.076923076923077
Sockeye_Harrison_River,12.105263157894736,13.421052631578947,13.578947368421053,7.0588235294117645,10.588235294117647,10.176470588235293,8.529411764705882,12.941176470588236,12.647058823529411,10.588235294117647,15.176470588235293,15,7.352941176470588,9.411764705882353,10,7.333333333333333,13.333333333333334,11.333333333333334,5.5625,8.0625,7.4375,12.058823529411764,13.235294117647058,13.235294117647058,7.5625,11.375,10.75,7.625,11.875,10.3125,7,11.666666666666666,11.11111111111111,16.9375,19.5,20.25,17.333333333333332,22,20.866666666666667,23.333333333333332,26.666666666666668,27,-5.230769230769231,-2.923076923076923,-6.769230769230769
Sockeye_Harrison_Up_Late(Weaver),11.842105263157896,18.68421052631579,17.210526315789473,4.722222222222222,14.166666666666666,10.944444444444445,8.055555555555555,16.38888888888889,12.88888888888889,9.722222222222221,16.666666666666668,14,4.722222222222222,8.88888888888889,8.333333333333334,7.5,16.5625,13.4375,2.8125,9.0625,6.875,10.294117647058824,11.764705882352942,11.470588235294118,8.125,12.3125,11.6875,7.9375,13.75,11.25,6.444444444444445,11.38888888888889,11.222222222222221,18.875,28.9375,24.0625,18.333333333333332,26.666666666666668,24.266666666666666,26.333333333333332,34.666666666666664,31.466666666666665,-1.9230769230769231,-0.6153846153846154,-3.3076923076923075
Sockeye_Lillooet/Harrison_Late(Birk),10.789473684210526,16.05263157894737,13.947368421052632,5.294117647058823,10.294117647058824,8.823529411764707,8.235294117647058,13.823529411764707,13.117647058823529,9.705882352941176,15,14.117647058823529,7.647058823529412,9.411764705882353,10,10,15.666666666666666,14.333333333333334,6.5625,8,7.375,12.058823529411764,11.470588235294118,12.058823529411764,9.8125,11.6875,12.25,10.75,15.625,13.4375,6.777777777777778,13.61111111111111,14.055555555555555,19.4375,26.375,23.75,17.333333333333332,24.333333333333332,21.333333333333332,25.666666666666668,31.333333333333332,28.933333333333334,-3.4615384615384617,-2.923076923076923,-4.461538461538462
Sockeye_Pitt_ES,11.11111111111111,11.5,10.61111111111111,8.875,12.8125,9.5625,8.5625,11.75,10.625,8.8125,12.3125,11.125,9.375,13.75,12.1875,7.666666666666667,12.333333333333334,10.666666666666666,5.0625,7.9375,7.5625,12.941176470588236,15.588235294117647,13.823529411764707,12,16.3125,15.5625,10.466666666666667,15,13,7.823529411764706,15.294117647058824,14.176470588235293,17.8125,20.4375,20.4375,18.466666666666665,22.333333333333332,23.8,26.125,27.375,27.375,-4.5,-4.5,-7.714285714285714
Sockeye_Widgeon_River,10,12.777777777777779,11.38888888888889,5,8.529411764705882,6.470588235294118,5.294117647058823,10.294117647058824,9.411764705882353,5.294117647058823,11.176470588235293,9.117647058823529,5,8.235294117647058,8.529411764705882,4.333333333333333,9.333333333333334,8,4.375,7.1875,7,9.117647058823529,11.470588235294118,11.470588235294118,7.117647058823529,9.117647058823529,9.176470588235293,6.375,10,7.8125,5.411764705882353,8.529411764705882,7.9411764705882355,16.58823529411765,21.470588235294116,18.941176470588236,15.625,21.5625,18.4375,22.058823529411764,25.88235294117647,24.705882352941178,-2.857142857142857,-3.0714285714285716,-5.571428571428571
